The most important thing is to try and inspire people so that they can be great in whatever they want to do.,Kobe Bryant
I often think that the night is more alive and more richly colored than the day.,Vincent Van Gogh
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden
"You're going to go through tough times - that's life. But I say, 'Nothing happens to you, it happens for you.' See the positive in negative events.",Joel Osteen
A good laugh is sunshine in the house.,William Makepeace Thackeray
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen
"The learner always begins by finding fault, but the scholar sees the positive merit in everything.",Georg Wilhelm Friedrich Hegel
The person who can bring the spirit of laughter into a room is indeed blessed.,Bennett Cerf
The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.,Albert Einstein
Our chief want is someone who will inspire us to be what we know we could be.,Ralph Waldo Emerson
"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot - it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive.",Maya Angelou
Always turn a negative situation into a positive situation.,Michael Jordan
"Correction does much, but encouragement does more.",Johann Wolfgang von Goethe
"I always like to look on the optimistic side of life, but I am realistic enough to know that life is a complex matter.",Walt Disney
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran
I've always believed that you can think positive just as well as you can think negative.,James Baldwin
"When you are enthusiastic about what you do, you feel this positive energy. It's very simple.",Paulo Coelho
"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.",Joel Osteen
Every positive value has its price in negative terms... the genius of Einstein leads to Hiroshima.,Pablo Picasso
"I feel that sin and evil are the negative part of you, and I think it's like a battery: you've got to have the negative and the positive in order to be a complete person.",Dolly Parton
In order to carry a positive action we must develop here a positive vision.,Dalai Lama
Your smile will give you a positive countenance that will make people feel comfortable around you.,Les Brown
"People deal too much with the negative, with what is wrong. Why not try and see positive things, to just touch those things and make them bloom?",Thich Nhat Hanh
